258	453
258	624
850	667
850	924
850	47
850	213
850	182
850	273
850	469
850	1063
711	36
711	449
711	483
711	1137
711	821
711	526
711	256
118	84
118	599
118	804
118	720
118	1138
118	376
118	223
639	673
639	1114
639	11
639	1120
639	123
593	37
22	638
22	461
22	423
22	964
22	93
22	776
275	272
275	143
275	198
275	774
275	1034
275	397
275	88
275	504
275	311
275	487
275	756
275	930
275	62
275	253
275	434
275	192
275	695
275	268
275	458
275	872
912	716
912	8
912	28
912	4
912	556
912	271
531	469
531	180
531	303
531	610
531	330
531	264
531	361
531	539
531	917
531	1090
531	1044
820	966
820	56
820	580
290	451
290	1141
290	25
290	707
290	799
290	1106
290	1017
290	655
290	528
290	141
290	720
290	748
156	128
156	711
816	178
816	70
194	41
194	832
194	795
194	834
755	922
755	728
755	102
755	106
755	844
892	635
892	35
892	1029
932	275
932	227
932	767
932	736
932	318
932	186
932	1122
932	487
542	400
542	838
542	778
542	788
542	895
542	746
542	807
542	106
505	763
505	201
505	683
505	694
505	725
505	664
505	511
505	739
505	573
505	322
345	494
345	673
345	345
345	480
345	415
345	1046
345	22
345	793
20	926
20	94
20	1131
20	500
20	682
20	394
20	191
129	767
129	273
129	58
129	251
129	835
129	372
129	676
129	163
129	1063
129	768
129	673
129	1120
129	627
129	274
296	201
296	694
296	74
296	450
296	620
296	1054
296	8
296	876
620	655
620	353
620	695
620	171
620	951
620	859
620	533
0	1113
0	56
0	968
0	867
0	645
0	935
0	516
0	552
0	545
0	362
0	363
859	519
859	214
859	243
341	161
341	931
341	533
341	635
341	529
341	1
341	732
341	816
75	876
75	770
75	388
75	1105
832	1076
832	257
832	403
832	672
832	591
832	754
832	903
832	682
832	881
832	247
832	361
406	726
406	575
406	194
406	1114
406	176
406	913
406	116
406	1072
406	879
406	1147
940	846
869	744
869	28
869	154
869	810
869	575
869	634
869	831
869	665
869	400
869	1131
869	584
29	92
29	354
396	71
396	1032
396	484
396	932
396	320
187	296
187	317
187	677
187	855
187	1013
112	171
112	890
792	502
792	72
792	23
421	487
421	1116
421	1039
421	132
657	821
657	1112
657	413
274	712
274	188
274	769
274	1081
336	696
336	176
758	967
758	864
702	772
702	644
220	304
220	241
220	689
220	252
220	124
220	1113
23	1136
23	709
23	752
278	374
278	498
278	877
278	495
278	230
278	590
278	221
278	629
278	978
278	526
278	965
278	745
278	760
278	372
278	398
278	1018
451	280
451	277
451	264
451	582
451	1080
451	463
451	725
451	813
144	395
144	1138
144	1134
144	339
144	108
144	556
144	832
144	861
144	444
144	129
144	221
144	955
144	515
467	1027
467	239
467	982
467	32
467	739
467	244
797	424
797	63
797	85
797	199
797	571
797	474
797	437
797	240
797	582
797	1117
918	736
918	479
918	488
918	38
918	621
918	614
918	420
918	925
918	1086
267	345
267	885
267	91
267	680
267	688
267	137
267	134
267	567
267	759
267	844
267	419
267	813
267	268
513	404
513	22
513	328
513	366
513	734
513	347
513	337
513	752
264	78
264	1123
632	720
632	337
632	1064
611	555
611	1094
286	845
286	679
286	82
596	327
596	987
737	409
737	620
737	847
737	315
737	405
737	289
66	1041
66	1070
117	21
117	410
117	3
670	1033
670	408
670	738
670	1100
670	746
942	411
942	296
942	350
942	1096
942	755
942	846
942	457
489	45
489	750
489	187
34	167
692	251
692	239
692	1014
692	1135
692	950
692	925
692	623
516	157
516	701
778	996
778	513
206	151
206	1105
206	876
206	709
206	1129
206	306
206	842
206	722
206	576
232	1083
232	328
232	346
232	1092
232	703
171	23
171	871
690	285
690	617
151	1126
151	359
151	751
151	585
151	14
4	800
4	687
4	697
4	488
4	931
4	752
4	674
91	519
91	219
91	114
91	664
91	856
91	346
91	1146
91	1053
91	328
91	1007
91	699
91	130
91	1096
91	293
91	950
91	827
592	91
592	397
592	695
592	22
592	198
592	388
592	1151
306	1072
306	449
306	664
306	1051
306	621
299	559
397	287
397	51
397	487
397	942
397	622
397	577
397	820
759	140
759	629
318	207
836	721
836	947
693	680
693	1108
693	889
693	105
693	374
693	447
693	857
633	755
633	61
633	694
633	766
633	93
633	7
62	458
62	302
62	932
62	972
838	204
838	815
838	344
285	61
285	975
285	613
285	34
285	419
285	283
285	126
285	18
285	176
285	881
285	323
285	510
683	31
683	86
683	804
683	475
101	464
101	11
101	1109
101	398
101	627
101	456
101	578
101	1115
101	840
363	760
476	357
476	358
381	1134
381	783
381	823
714	330
714	959
714	489
714	3
714	495
714	298
714	433
911	654
911	716
911	888
769	705
769	395
769	811
42	893
42	588
42	229
42	216
42	693
42	966
42	977
42	140
42	396
471	233
471	324
471	722
471	553
471	931
471	704
471	1021
471	757
471	1054
471	38
471	518
776	658
776	457
801	538
