258	246	1	1997-09-20 03:05:10	-1834	-62	-262
258	276	1	1997-09-20 03:05:27	-1834	-62	-262
258	287	1	1997-09-20 03:05:54	-1834	-62	-262
258	719	1	1997-12-29 05:03:59	-1734	-58	-248
258	283	1	1997-12-29 05:04:21	-1734	-58	-248
258	164	1	1997-12-29 05:04:42	-1734	-58	-248
258	732	1	1997-12-29 05:09:11	-1734	-58	-248
850	660	1	1997-09-20 04:02:48	-1834	-62	-262
850	274	1	1997-09-20 04:05:38	-1834	-62	-262
850	669	1	1997-09-20 04:05:38	-1834	-62	-262
850	285	1	1997-09-20 04:06:10	-1834	-62	-262
850	527	1	1997-09-20 04:06:36	-1834	-62	-262
850	456	1	1997-09-20 04:06:36	-1834	-62	-262
850	280	1	1997-09-20 04:07:10	-1834	-62	-262
850	139	1	1997-09-20 04:07:41	-1834	-62	-262




